"id","size","flower_n","log_size","repro","size_next","flower_n_next","survival","log_size_next","repro_next"
264,0.224095200898299,1,-1.49568431340546,1,NA,NA,0,NA,NA
265,1.3252391555417,2,0.28159293789942,1,1.06591024810045,1,1,0.0638291271713307,1
266,0.319852085954629,1,-1.13989662144201,1,0.0331859550549098,NA,1,-3.40562853308134,0
267,0.165557029630472,NA,-1.79843955361027,0,0.0944904072606091,1,1,-2.35925696010472,1
268,0.379203287453981,4,-0.969682839192698,1,0.26782102732894,4,1,-1.31743633002879,1
270,12.0347735019862,56,2.48780025111496,1,5.69806147014706,19,1,1.74012602403912,1
271,0.472159735540305,2,-0.750437927893763,1,0.283587784562965,4,1,-1.26023355801993,1
272,0.207352802148686,NA,-1.57333357828082,0,0.326805039134733,NA,1,-1.11839149648625,0
273,0.122014747999569,NA,-2.10361335631254,0,0.194058292317104,NA,1,-1.63959668919128,0
274,0.568850099641056,5,-0.564138324834158,1,0.888282237538159,5,1,-0.118465751423337,1
275,0.574007904182236,NA,-0.555112112405053,0,0.402154162051454,NA,1,-0.910919776185542,0
276,0.196310491292376,1,-1.62805773392982,1,0.646771683141681,1,1,-0.435761932166928,1
277,0.313006188166242,NA,-1.16153231813824,0,NA,NA,0,NA,NA
281,0.0582258556843701,NA,-2.84342576715192,0,NA,NA,0,NA,NA
282,0.106233737507672,NA,-2.24211354164362,0,NA,NA,0,NA,NA
287,0.393309016666757,10,-0.933159674135265,1,NA,NA,0,NA,NA
292,0.594928027838175,3,-0.519314842369466,1,0.320013759388939,2,1,-1.13939128602232,1
307,2.07480701158219,3,0.729868142890876,1,2.83079374632005,10,1,1.04055714806065,1
308,0.24459685849276,NA,-1.40814389925897,0,0.384185874037088,1,1,-0.956628796535773,1
344,0.844933847353432,NA,-0.168496941845264,0,0.468690901955012,NA,1,-0.757811785475051,0
345,0.048136470599275,NA,-3.03371516466026,0,0.0643642969644464,NA,1,-2.74319619456755,0
347,0.208775028729921,NA,-1.56649802433097,0,0.112615139809988,NA,1,-2.18377911574319,0
348,0.412843961557554,NA,-0.884685574463877,0,NA,NA,0,NA,NA
349,0.138049247775246,NA,-1.98014478955058,0,NA,NA,0,NA,NA
350,0.186054183308463,NA,-1.68171733958089,0,0.295763858335709,NA,1,-1.21819391894349,0
351,0.101619164023198,NA,-2.28652313934912,0,0.0851204863168059,NA,1,-2.46368754009678,0
353,0.444597354196948,2,-0.810586228443775,1,0.507931879322529,1,1,-0.677407936217096,1
372,0.478213518471171,1,-0.737697954865285,1,0.343509835429597,NA,1,-1.06853953474683,0
373,0.390884632772873,2,-0.93934281938148,1,0.566501485947324,3,1,-0.568275575486052,1
374,0.0871845293502407,NA,-2.43972837951548,0,0.351945374752448,1,1,-1.0442793007889,1
375,13.0865412724649,42,2.57158431830533,1,11.3029734892432,68,1,2.42506583174386,1
376,0.717959965782009,3,-0.331341469452222,1,1.04923439746705,10,1,0.0480607529442582,1
377,9.18646394490396,21,2.21773109027857,1,11.3614136671536,47,1,2.4302228480818,1
380,1.9292034061588,6,0.657107174792087,1,6.26833979751837,23,1,1.83551153449828,1
383,1.28901731958582,4,0.253880160318156,1,1.64900692311652,5,1,0.500173241941309,1
384,0.816912685085892,NA,-0.202223062433305,0,2.32132817761828,7,1,0.842139512220839,1
386,0.241775671658242,NA,-1.41974495935281,0,0.245159498293186,NA,1,-1.40584626681316,0
387,2.46131253495965,NA,0.90069475845326,0,2.94839216064542,14,1,1.08125999147904,1
